specimen;total_thickness;tape_thickness;loading_step;strain;crack_density
S_140_140_7;140;140;1800;0,008114104;0,032467532
S_140_140_7;140;140;1950;0,009091453;0,032467532
S_140_140_7;140;140;2100;0,009766964;0,064935065
S_140_140_7;140;140;2250;0,010750798;0,097402597
S_140_140_7;140;140;2400;0,011433512;0,146103896
S_140_140_7;140;140;2550;0,012526066;0,146103896
S_140_140_7;140;140;2650;0,013070357;0,178571429
S_140_140_7;140;140;2750;0,01376434;0,194805195
S_140_140_7;140;140;2850;0,01449375;0,211038961
S_140_140_7;140;140;2950;0,01513858;0,211038961
S_140_140_7;140;140;3050;0,015889941;0,243506494
S_140_140_7;140;140;3150;0,016537836;0,25974026
S_140_140_7;140;140;???;0,017158922;0,275974026
S_140_140_7;140;140;???;0,018096007;0,275974026
S_140_140_8;140;140;100;0;0
S_140_140_8;140;140;350;0,000742554;0
S_140_140_8;140;140;600;0,001381505;0
S_140_140_8;140;140;850;0,002183753;0
S_140_140_8;140;140;1100;0,003573135;0
S_140_140_8;140;140;1300;0,004260717;0
S_140_140_8;140;140;1500;0,005864773;0,015625
S_140_140_8;140;140;1650;0,00661882;0,046875
S_140_140_8;140;140;1800;0,007315664;0,0625
S_140_140_8;140;140;1950;0,008345859;0,09375
S_140_140_8;140;140;2100;0,009209437;0,140625
S_140_140_8;140;140;2250;0,009916557;0,171875
S_140_140_8;140;140;2400;0,010792983;0,203125
S_140_140_8;140;140;2550;0,012049546;0,203125
S_140_140_8;140;140;2650;0,012594037;0,203125
S_140_140_8;140;140;2750;0,013288906;0,203125
S_140_140_8;140;140;2850;0,014198133;0,203125
S_140_140_8;140;140;2950;0,014872787;0,203125
S_140_140_8;140;140;3050;0,015723473;0,203125
S_140_140_8;140;140;3150;0,016394415;0,203125
S_140_140_8;140;140;???;0,016806673;0,203125
S_140_65_6;140;65;100;0,000475235;0
S_140_65_6;140;65;350;0,001463913;0
S_140_65_6;140;65;600;0,002376185;0
S_140_65_6;140;65;850;0,003327877;0
S_140_65_6;140;65;1100;0,004056177;0
S_140_65_6;140;65;1300;0,004277693;0
S_140_65_6;140;65;1500;0,004802449;0
S_140_65_6;140;65;1650;0,006468135;0
S_140_65_6;140;65;1800;0,007196541;0
S_140_65_6;140;65;1950;0,007926702;0
S_140_65_6;140;65;2100;0,008437387;0
S_140_65_6;140;65;2250;0,009357435;0
S_140_65_6;140;65;2400;0,010149701;0
S_140_65_6;140;65;2550;0,010715793;0
